model,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression,0.7564338235294118,0.1597222222222222,0.6666666666666666,0.25770308123249297,0.7956507516604798
Random Forest,0.8538602941176471,0.2289156626506024,0.5507246376811594,0.32340425531914896,0.7768201277182802
XGBoost,0.9209558823529411,0.36065573770491804,0.3188405797101449,0.3384615384615385,0.7743454082575983
